py_ix,ITEM_ID,COLLECTION,NAME,DESCRIPTION,IMAGE,CATEGORY,MINT_USD,BID_USD,ORDER_USD,BUYERS,N_SALES,what,style,theme,color,season,occasion,who,adult flag,Preview
0,0x26ea2f6a7273a2f28b410406d1c13ff7d4c9a162-4,0x26ea2f6a7273a2f28b410406d1c13ff7d4c9a162,MVFW23 Neo Hoodie,"High-tech, futuristic, edgy design.",https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x26ea2f6a7273a2f28b410406d1c13ff7d4c9a162:4/thumbnail,upper_body,0,0,1.92220396,11,16,shirt,sports,sports,black,winter,work,athlete,no,
1,0xb84538a881262817892b0a9d223cb62f77b27385-0,0xb84538a881262817892b0a9d223cb62f77b27385,MCMC Red Motorcycle Jacket,Get your motor running! Show your colors with the Red MCMC Jacke,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xb84538a881262817892b0a9d223cb62f77b27385:0/thumbnail,upper_body,0,158.1546506,295.3747646,15,23,suit,suit,red,red,winter,christmas,clown,no,
2,0xc70ce5be8aa02e02bb3ef070395b37e24d929ea5-0,0xc70ce5be8aa02e02bb3ef070395b37e24d929ea5,High Alchemist of Orion,Streetwear from a high council of intergalactic dripp,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xc70ce5be8aa02e02bb3ef070395b37e24d929ea5:0/thumbnail,upper_body,350.231222,29.66227663,0,8,10,dress,dress,doctor,gray,winter,halloween,female,no,
3,0x327b4c016d501828ea35264a6c2b49f76ca5e243-2,0x327b4c016d501828ea35264a6c2b49f76ca5e243,Lloyd’s Trash Polo,Just as trash as his stache. Combine them both!,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x327b4c016d501828ea35264a6c2b49f76ca5e243:2/thumbnail,upper_body,0,0,4.377706723,7,13,baseball jersey,baseball,baseball,white,winter,winter,baseball player,no,
4,0x40ace2c6dd36bde1483a6603e872aa6316f66cd8-0,0x40ace2c6dd36bde1483a6603e872aa6316f66cd8,Flock Fits - Flamingos,In collaboration with x1over,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x40ace2c6dd36bde1483a6603e872aa6316f66cd8:0/thumbnail,feet,250.4094711,0,0,5,5,shoes,tennis,pink,pink,summer,birthday,female,no,
5,0x7ec61e9b91fb0870f4a3d721621bb8a9db276464-4,0x7ec61e9b91fb0870f4a3d721621bb8a9db276464,Gamer of Thrones,,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x7ec61e9b91fb0870f4a3d721621bb8a9db276464:4/thumbnail,upper_body,74.95486551,0,0,5,5,cape,victorian,dracula,red,winter,halloween,doll,no,
6,0x7913577c368e024d90de065977fa0a38ef2720be-0,0x7913577c368e024d90de065977fa0a38ef2720be,Puffer Jacket,Oversized Puffer Coat with Glowing Stripe Trims,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x7913577c368e024d90de065977fa0a38ef2720be:0/thumbnail,upper_body,11.83906529,0,0,1,1,jacket,casual,military,green,winter,new years,man,no,
7,0xfbb1acbc7042702fd73b871005de43e7de5b36b8-0,0xfbb1acbc7042702fd73b871005de43e7de5b36b8,Crawdad Slides × McCormick,Introducing the limited-edition Crawdad Slides with socks.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xfbb1acbc7042702fd73b871005de43e7de5b36b8:0/thumbnail,feet,0,0,1.292724889,4,6,paper,paper,fish,orange,summer,party,person,no,
8,0x872ee52a139d3e2c4ec714f9150cb707dd429f5c-0,0x872ee52a139d3e2c4ec714f9150cb707dd429f5c,Suit Wallet Security,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x872ee52a139d3e2c4ec714f9150cb707dd429f5c:0/thumbnail,upper_body,99.08160136,0.6469561157,0.7327702068,51,62,suit,suit,suit,black,winter,wedding,clown,no,
9,0x60574607c3adc7414132505c56087843f258531e-0,0x60574607c3adc7414132505c56087843f258531e,MetaZoo Intl. MVFW Trousers,MVFW Trousers by MetaZoo Intl.,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x60574607c3adc7414132505c56087843f258531e:0/thumbnail,lower_body,38.29423113,0,1.709804321,18,19,military uniform,military,military,black,winter,party,soldier,no,
10,0x6821aeb57c4b48f56cffdad7b540b35b0fbdf5d6-0,0x6821aeb57c4b48f56cffdad7b540b35b0fbdf5d6,The 5 elements 'earth'gown dress,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x6821aeb57c4b48f56cffdad7b540b35b0fbdf5d6:0/thumbnail,upper_body,402.0745278,0,0,5,5,dress,quirky,cinderella,purple,winter,prom,girl,no,
11,0xbf82c91a602437f5bc18e16b8f8c2993eae05866-2,0xbf82c91a602437f5bc18e16b8f8c2993eae05866,ORION CULTR WORLD,CULT&RAIN limited edition ORION mid top electric blue sneaker,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xbf82c91a602437f5bc18e16b8f8c2993eae05866:2/thumbnail,feet,0,0,1.46042338,1,1,sneakers,high heels,graffiti,blue,summer,party,skater,no,
12,0x6512be63187376ddb95b9f6900cc263fbc4b1cbe-2,0x6512be63187376ddb95b9f6900cc263fbc4b1cbe,Night Club - Lingerie,Night revellers don’t miss out!,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x6512be63187376ddb95b9f6900cc263fbc4b1cbe:2/thumbnail,lower_body,91.92301997,0,3.941344341,45,45,skirt,crossdressing,strip club,black and white,summer,party,model,yes,
13,0x12422cdd10d1869aa4c5d98924987bda953c85de-0,0x12422cdd10d1869aa4c5d98924987bda953c85de,Crossbow Weapon,A crossbow in hand is a style statement,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x12422cdd10d1869aa4c5d98924987bda953c85de:0/thumbnail,upper_body,37.04527257,0,0,2,2,army,army,army,camouflage,summer,party,soldier,no,
14,0xefeda6be3961b75cb327ba91c80fb3e4c59575e2-0,0xefeda6be3961b75cb327ba91c80fb3e4c59575e2,MECHAQUEEN Halo Rave Dress,Celebrative holographic rave dress by LUCII X Maryana for MVMF22,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xefeda6be3961b75cb327ba91c80fb3e4c59575e2:0/thumbnail,upper_body,174.8270715,0,0,22,24,sequin dress,sequin,tinkerbell,blue,summer,halloween,girl,no,
15,0x2929bbb4f18b40ac52a7f0b91629c695e3f96504-0,0x2929bbb4f18b40ac52a7f0b91629c695e3f96504,Celestial Berserker Suit,This wearable offers increased attributes for Dice Masters Game.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x2929bbb4f18b40ac52a7f0b91629c695e3f96504:0/thumbnail,upper_body,0,0,21.27952102,1,1,dress,dress,halloween,purple,winter,halloween,clown,no,
16,0x9b08429a22273f795df042263848b250d293d5ed-1,0x9b08429a22273f795df042263848b250d293d5ed,Dow Jones Polo Shirt,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x9b08429a22273f795df042263848b250d293d5ed:1/thumbnail,upper_body,0,0,1.028910464,4,4,bib,baby,green,white,summer,baby shower,baby,no,
17,0x7f7b0f4c96c11781453046da28c6716903b2b6e0-0,0x7f7b0f4c96c11781453046da28c6716903b2b6e0,Sugar and Spicier Male Fit,Made for Babydolls by FabeeoBreen,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x7f7b0f4c96c11781453046da28c6716903b2b6e0:0/thumbnail,upper_body,68.0322919,0,0,7,7,underwear,bowtie,naked,black,summer,wedding,model,yes,
18,0xbeca537eaaa9a45ea97ae496529b0ed8f055c36b-0,0xbeca537eaaa9a45ea97ae496529b0ed8f055c36b,Cupid B*tch,Designed for Babydolls by Lyzbeth,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xbeca537eaaa9a45ea97ae496529b0ed8f055c36b:0/thumbnail,upper_body,0,0.5586603869,2.853932384,2,2,shorts,casual,surf,black,summer,summer,man,no,
19,0x64f25e44de2aa7d940c6d40c4ad9f21d8b19877f-7,0x64f25e44de2aa7d940c6d40c4ad9f21d8b19877f,Springfield Beige Sneakers,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x64f25e44de2aa7d940c6d40c4ad9f21d8b19877f:7/thumbnail,feet,21.30491927,0,0,2,3,boots,high heels,ice cream,white,winter,party,person,no,
20,0x2ef65cfb55efe3f4b2ce1c9d83bbc3d3c48e3d7d-1,0x2ef65cfb55efe3f4b2ce1c9d83bbc3d3c48e3d7d,NF Studio Series KMNDZ,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x2ef65cfb55efe3f4b2ce1c9d83bbc3d3c48e3d7d:1/thumbnail,upper_body,0,4.746230329,13.84862195,9,10,skateboard,board,skull,black,summer,skiing,skateboarder,no,
21,0x023d684ea6a1be6d07c03da9738b83959e4d2fa7-0,0x023d684ea6a1be6d07c03da9738b83959e4d2fa7,Meister Long Sleeve,Limited edition Black Long sleeve T-shirt,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x023d684ea6a1be6d07c03da9738b83959e4d2fa7:0/thumbnail,upper_body,0,0,11.7318776,9,29,shirt,long sleeve,black,black,winter,christmas,skier,no,
22,0x59cc414bd07bc9736a8911a8d313ee6fe14724fd-3,0x59cc414bd07bc9736a8911a8d313ee6fe14724fd,Red Jacket ootd by ExtraVersion,Be like Drake from the world famous meme,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x59cc414bd07bc9736a8911a8d313ee6fe14724fd:3/thumbnail,upper_body,28.38155377,0,0,1,1,jacket,casual,red,red,winter,christmas,skater,no,
23,0x7b675790e80af8c9ed6d0c30064baf4f8cd64612-2,0x7b675790e80af8c9ed6d0c30064baf4f8cd64612,Cardinal,Cardinal by ManaD. Coat for the icy weather of Frimaire,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x7b675790e80af8c9ed6d0c30064baf4f8cd64612:2/thumbnail,upper_body,126.6364048,0,0,7,7,robe,robe,halloween,red,winter,halloween,clown,no,
24,0xf1ce8a235a9cc0fefe8f47a7ef4f32c44495517b-1,0xf1ce8a235a9cc0fefe8f47a7ef4f32c44495517b,LimeWire | We Set The Trends,Limited edition Limewire hoodie for We Set The Trends Debut,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xf1ce8a235a9cc0fefe8f47a7ef4f32c44495517b:1/thumbnail,upper_body,0,2.234666141,41.1200896,31,33,hoodie,hoodie,neon,black,summer,birthday,teenager,yes,
25,0x79613f1da4ce3dbe0e5ba270fc5c7cd624deb99c-1,0x79613f1da4ce3dbe0e5ba270fc5c7cd624deb99c,Legionnaire Cap - Grand Green,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x79613f1da4ce3dbe0e5ba270fc5c7cd624deb99c:1/thumbnail,hat,0,0,0.720529163,1,1,hat,baseball,military,black,summer,winter,person,no,
26,0xd7d5420c3c2247cb455043ee2217faf7d54b2dd7-0,0xd7d5420c3c2247cb455043ee2217faf7d54b2dd7,Cherry Cordial Gown & Suit,Arm candy by Refraction,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xd7d5420c3c2247cb455043ee2217faf7d54b2dd7:0/thumbnail,upper_body,106.3558931,0,0,8,8,prom,formal,prom,pink,summer,prom,male,yes,
27,0xf06057f2e27998104f00deef3413e932fe73e5d2-0,0xf06057f2e27998104f00deef3413e932fe73e5d2,Meta Waves - ckbubbles x srJH,Tattoo & Nail Art Wearable collab with srJH for MetaTokyo MVFW23,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xf06057f2e27998104f00deef3413e932fe73e5d2:0/thumbnail,feet,0,362.1582915,0,1,1,heels,high heels,mermaid,white,summer,summer,woman,yes,
